dataset,algorithm,params,reordered,binary,accuracy,cramers_v,chi2p,pearson,iva,dt_accuracy_original,dt_accuracy_sampled
adult,gan,[5],1,0,0.452373494,0.000329235,0.883609277,0.995889229,0.889075119,0.814217718,0.759190443
adult,gan,[5],0,1,0.313460889,0.000740439,0.83724765,0.996392096,0.904831848,0.80561953,0.760019655
adult,gan,[5],0,1,0.330239653,0,0.887101082,0.996684739,0.907117473,0.810072163,0.778047357
adult,gan,[5],0,1,0.344543063,0,0.970197799,0.998232383,0.902627605,0.806694304,0.758391941
adult,gan,[5],1,1,0.363576057,0,0.891797676,0.995447676,0.902541479,0.809765085,0.759190443
adult,gan,[5],1,1,0.424599982,0.001345931,0.841547722,0.996647707,0.904303651,0.819130969,0.759190443
adult,gan,[5],1,1,0.308733352,0.002396396,0.805834307,0.996567688,0.90291147,0.813603562,0.240809557
adult,gmm,12,0,0,0.41144109,0.003813342,0.501045932,0.974113063,0.929843237,0.814217718,0.763029391
adult,gan,[20],0,0,0.120790721,0.003028002,0.522997596,0.96971453,0.911251025,0.818056195,0.701145542
adult,gan,[10],0,0,0.227984399,0.004243742,0.62527601,0.969129702,0.891285585,0.807922616,0.759190443
adult,gan,[5],0,0,0.254816089,0.001476873,0.755244453,0.970005784,0.894389676,0.812835867,0.759190443
adult,gan,[2],0,0,0.236984941,0.000859636,0.780732608,0.974516212,0.887930407,0.813450023,0.759190443
adult,gan,[5],0,0,0.214239939,0.002191228,0.69087862,0.966220002,0.908425503,0.807922616,0.759190443
adult,gmm,12,0,0,0.394826121,0.003066919,0.533392498,0.975700317,0.93328427,0.801781053,0.765363472
adult,gmm,12,1,0,0.570506639,0.001575867,0.685288355,0.977235368,0.93356418,0.811607554,0.774791929
adult,gmm,12,0,1,0.813095421,0.002752013,0.586241618,0.990226603,0.963270946,0.890987256,0.796750714
adult,gmm,12,1,1,0.815957741,0.003475273,0.526161678,0.990267773,0.963496349,0.887302318,0.798562698
adult,vae,[40-40-2],0,0,0.238594228,0.001611699,0.775078486,0.983744576,0.885429592,0.805005374,0.759190443
adult,vae,[40-40-2],1,0,0.58527277,0.003604499,0.699763755,0.990769495,0.896772053,0.814985414,0.759190443
adult,vae,[40-40-2],0,1,0.636413706,0.001310867,0.692829839,0.986508453,0.923021257,0.884385076,0.694542551
adult,vae,[40-40-2],1,1,0.634489113,0.001825317,0.659483918,0.988323376,0.922721359,0.888837709,0.729185222
adult,rbm,[128],0,0,0.466826367,0.003833865,0.561189541,0.996441846,0.912929433,0.812068171,0.593747121
adult,rbm,[128],1,0,0.368479674,0.003956588,0.535804276,0.997541292,0.909921757,0.812682328,0.633549338
adult,rbm,[128],0,1,0.32519681,0.001844839,0.647018679,0.974961534,0.937094725,0.88039306,0.718589724
adult,rbm,[128],1,1,0.408257322,0.002486835,0.539716915,0.97362261,0.946196364,0.890219561,0.497374159
adult,gan,[5],0,0,0.224516037,0.008342279,0.531737805,0.972698384,0.875229732,0.814985414,0.759190443
adult,gan,[5],1,0,0.29053776,0.002949817,0.561098979,0.958003647,0.874146806,0.817749117,0.759190443
adult,gan,[5],1,0,0.267712908,0.004477499,0.594980283,0.962481596,0.898823747,0.805465991,0.759190443
adult,gmm,3,0,0,0.513250003,0.004607,0.515632465,0.980520458,0.924843883,0.812989406,0.770031633
adult,gmm,6,0,0,0.548668653,0.003154258,0.561676128,0.977777668,0.929618204,0.802088131,0.776419643
adult,gmm,9,0,0,0.557898508,0.002958306,0.542970557,0.977378937,0.932759353,0.814831875,0.766131261
adult,gmm,12,0,0,0.559169968,0.002281144,0.586187845,0.97832537,0.932850414,0.812068171,0.779736495
adult,gmm,12,0,0,0.558060256,0.003081046,0.481784809,0.977168504,0.930891948,0.804851835,0.779122263
adult,gmm,12,0,0,0.568588188,0.003392811,0.547893033,0.977024061,0.931504841,0.810072163,0.775529007
adult,gmm,12,0,1,0.817612072,0.003177288,0.506622692,0.989858083,0.962458327,0.888991248,0.786585179
adult,gmm,12,0,1,0.815001587,0.00170378,0.672063746,0.99040181,0.961896519,0.885766928,0.800128989
adult,gmm,12,1,0,0.569931308,0.004930378,0.586895494,0.977841995,0.939483263,0.811761093,0.772150732
adult,gmm,15,0,0,0.568745841,0.002716029,0.574490744,0.978192965,0.933358074,0.805773069,0.7614631
adult,gmm,12,1,1,0.816168627,0.003533162,0.490312543,0.990297816,0.96528107,0.883463842,0.797211388
adult,vae,[40-40-2],0,0,0.543646284,0.003755721,0.679777247,0.99023828,0.910854178,0.812528789,0.759190443
adult,vae,[20-20-2],0,0,0.400894731,0.001141088,0.834776598,0.990741087,0.886317929,0.815446031,0.759190443
adult,vae,[60-60-2],0,0,0.408750755,0.001698327,0.766974143,0.985775253,0.869266584,0.816367265,0.759190443
adult,vae,[40-2],0,0,0.574347635,0.002381178,0.684441914,0.987864653,0.892846297,0.813142945,0.759190443
adult,vae,[40-4],0,0,0.435781047,0,0.831993414,0.991055885,0.906573439,0.811146937,0.759190443
adult,vae,[40-40-8],0,0,0.41387959,0.001073176,0.741328553,0.989545235,0.897498427,0.818516813,0.759190443
adult,vae,[30-30-30-8],0,0,0.436620497,0.001830499,0.724589178,0.988978721,0.901668588,0.818516813,0.759190443
adult,vae,[20-2],0,0,0.579421189,0.001493358,0.807836638,0.990039595,0.908776814,0.801781053,0.759190443
